,address,business_id,city,is_open,latitude,longitude,name,postal_code,review_count,stars,state,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Noise Level,Attire,Alcohol,Price_Range,Delivery,Outdoor_Seating,Drive-Thru,Good_for_Groups,Has_TV,Caters,Waiter_Service,Good_for_Kids,Accepts_Credit_Cards,Takes_Reservations,Wi_Fi,Happy_Hour,Good_for_Dancing,Smoking,BYOB,Corkage,Take_Out,Coat_Check,Parking_Street,Parking_Valet,Parking_Lot,Parking_Garage,Parking_Validated,Music_DJ,Music_Karaoke,Music_Video,Music_Live,Music_Jukebox,Music_Background_Music,Is_Restaurants,Sandwiches,Fast Food,Nightlife,Pizza,Bars,Mexican,Food,American (Traditional),Burgers,Chinese,Italian,American (New),Breakfast & Brunch,Thai,Indian,Sushi Bars,Korean,Mediterranean,Japanese,Seafood,Middle Eastern,Pakistani,Barbeque,Vietnamese,Asian Fusion,Diners,Greek,Vegetarian
23,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",1RHY4K3BD22FK7Cfftn8Mg,Pittsburgh,1,40.4961769456,-80.24601123640001,Marathon Diner,15231,35,4.0,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"7981 W Tropical Pkwy, Ste 120",BsMdebN4nZySpGTfXr-7yg,Las Vegas,1,36.2715455,-115.26448390000002,Maurices,89149,4,5.0,NV,11,1,10,2,10,2,10,2,10,2,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6055 E Lake Mead Blvd,tstimHoMcYbkSC4eBA1wEg,Las Vegas,1,36.1956146,-115.04052890000001,Maria's Mexican Restaurant & Bakery,89156,184,4.5,NV,10,2,11,2,10,2,10,2,10,2,10,2,10,2,,,u'beer_and_wine',,,,,,,False,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"865 York Mills Road, Unit 1",C9oCPomVP0mtKa8z99E3gg,Toronto,1,43.754093100000006,-79.3495479,Bakery Gateau,M3B 1Y6,8,4.5,ON,9,2,9,2,9,2,9,2,9,2,9,2,9,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26 Bellair St,C9keC4mWuXdl2mYFHZXudQ,Toronto,1,43.6707435,-79.3913851,Uncle Otis Clothing,M5R 2C7,12,5.0,ON,12,1,11,1,11,1,11,1,11,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"3325 W Desert Inn Rd, Ste 101",iojTeSaoPuxm4WeCzDUA6w,Las Vegas,1,36.129424,-115.18444299999999,AW Collision,89102,52,4.5,NV,0,0,0,0,8,1,8,1,8,1,8,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1170 Queen Street W,NDuUMJfrWk52RA-H-OtrpA,Toronto,1,43.6428886,-79.4254291,Bolt Fresh Bar,M6J 1J5,57,3.0,ON,9,2,8,2,8,2,8,2,8,2,8,2,9,2,,,,,,,,,,False,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8800 W Charleston Blvd,LB6ZyCfUzeX9OLdunHhnOQ,Las Vegas,1,36.161805,-115.28727749999999,Ross Dress for Less,89117,38,3.5,NV,9,2,9,2,9,2,9,2,9,2,8,2,8,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"6875 N 21st Ave, Ste 118",mNBp4KI2goFJKDB9VLGP9w,Phoenix,1,33.5380237,-112.1032008,JSE Automotive Services,85015,4,5.0,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1051 Bloor Street W,SP_YXIEwkFPPl_9anCYmpQ,Toronto,0,43.6604937,-79.432099,The Steady Cafe & Bar,M6H 1M4,29,3.5,ON,10,1,0,0,9,1,9,1,9,1,9,2,10,2,,,u'full_bar',,,,,,,True,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9020 B Albemarle Rd,irft4YkdNsww4DNf_Aftew,Charlotte,0,35.21051,-80.690262,So Cool Frozen Yogurt,28227,6,4.5,NC,11,2,11,2,11,2,0,0,11,2,11,2,11,2,,,,,,,,,,False,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3150 N Rainbow Blvd,HVPcIcqiJkrpD36xZFGN6g,Las Vegas,1,36.2166671,-115.2420267,Bank of America,89108,19,1.5,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6401 Morrison Blvd,BvYU3jvGd0TJ7IyZdfiN2Q,Charlotte,0,35.156338,-80.831878,Manzetti's Tavern,28211,16,3.5,NC,11,2,11,2,11,2,11,2,11,2,11,2,11,2,,,u'full_bar',,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,15224 N 59th Ave,0_ohldeFwysbglrTLSGM4Q,Glendale,0,33.623871416,-112.186448429,The Lounge Barber Shop,85306,6,3.5,AZ,0,0,0,0,9,1,9,1,9,1,9,1,8,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1318 S Vineyard,M9DM1ktbW-TB7nXu3Z4RDw,Mesa,1,33.391002655,-111.8436203003,Sonoma Village,85210,6,2.5,AZ,0,0,9,1,9,1,13,1,9,1,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"2789 Sunridge Heights Pkwy, Ste 100",n2kOsDur7tCLygSa87glJQ,Henderson,0,35.9911594,-115.1084553,A Woman's Place,89052,13,2.5,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"560 E Germann Rd, Ste 107",hgPhZoB3zdiRdlT9FETskw,Gilbert,1,33.278251000000004,-111.77746,OzBraz,85297,12,5.0,AZ,0,0,0,0,7,1,7,1,7,1,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,30808 Center Ridge Rd,-MsRvdPnuw6QuLn5Vxjruw,Westlake,1,41.422793799999994,-81.9622151,Brian's Furniture,44145,3,5.0,OH,0,1,11,2,10,2,10,2,10,1,10,1,11,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"6775 Edmond St, Ste 210",FDI2PkyJBWEVFZ0ndHFg2g,Las Vegas,1,36.0664169,-115.2125412,Wesley Friedman - FBC Mortgage,89118,6,5.0,NV,0,0,8,1,8,1,8,1,8,1,8,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3011 Arville St,Qwt9lOpplBAZ7JBrgAqI7g,Las Vegas,1,36.138452,-115.19801899999999,Pine Village Apartments,89102,5,2.0,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4190 N Pecos Rd,NBn4hgfGtNz91k3VsDZlmw,Las Vegas,1,36.2360535,-115.09645420000001,Three Square,89115,44,5.0,NV,8,1,0,0,8,1,8,1,8,1,8,1,8,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,14202 N Scottsdale Rd,teknANRU8ZKnwdIHWYyd8Q,Scottsdale,0,33.6168384583,-111.9273103315,Key To Healing Massage,85254,10,5.0,AZ,0,0,0,0,10,1,10,1,10,1,10,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2825 32 Avenue NE,e_EMySqP0uwlVZfd8mRaaQ,Calgary,0,51.0811622,-113.99347379999999,Pearl Garden,T1Y,4,2.0,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,24 N Main St,-l45pZ9izx2mo5RzX2PwMw,Belmont,1,35.2430984,-81.0374682,GiGi's Boutique Fine Consignment,28012,5,3.0,NC,0,0,0,0,10,1,10,1,10,1,10,1,10,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,709 W Ray Rd,GWO87Y-IqL54_Ijx6hTYAQ,Gilbert,0,33.3203855,-111.8046523,Bruster's Real Ice Cream,85233,57,4.5,AZ,12,2,12,2,12,2,12,2,12,2,12,2,12,2,,,,,,,,,,True,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6620 36 Street NE,Jff5hTK1ZMLKS06sOSNWdA,Calgary,1,51.111891524899995,-113.98048015319999,Radisson Hotel & Conference Centre Calgary Airport,T3J 4C8,14,3.5,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"2220 W Southern Ave, Ste 102, Endodontic Specialists Ltd",5ws3QWQXUhqTeLd7IZsDww,Mesa,1,33.393546,-111.8788899,"Stephen L Walker, DDS, MS",85202,3,5.0,AZ,0,0,7,1,7,1,7,1,7,1,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,582 College Street,mlHC2XcU9Bows6cnYEmRgg,Toronto,0,43.6554201,-79.41335179999999,Mad Crush Wine Bar,M6G 1B3,9,4.0,ON,0,0,0,0,0,0,0,0,18,2,18,2,18,2,,,u'full_bar',,,,,,,False,,,,,,,,u'no',,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"13129 S Tryon St, Ste 120",Qnz3ywR7BosTr8qDk6G-Pw,Charlotte,1,35.1007253747,-80.9920791686,Mattress Firm Final Markdown,28278,4,5.0,NC,12,1,10,2,10,2,10,2,10,2,10,2,10,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1306 W University Dr,viivlh_KJkiDVxhIdZnV8Q,Mesa,1,33.4221642,-111.859035,Club Red,85201,64,2.5,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,u'full_bar',,,,,,,,,,,,,,,u'outdoor',,,,,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"17025 N Scottsdale Rd, Ste 110",q2KtxnPa6rPSpAlMbg9l8g,Scottsdale,1,33.6403078149,-111.92452813989999,Nothing Bundt Cakes,85255,174,4.0,AZ,10,1,9,1,9,1,9,1,9,1,9,1,9,1,,,,,,,,,,True,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3101 W Northern Ave,c-BELKj0SvNhBesQMf-bKw,Phoenix,1,33.5528496,-112.1259755,Circle K,85051,3,2.5,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3001 S Park Rd,qWWBVE5T_zMEF7UJ4iTfNw,Bethel Park,1,40.3268447,-80.04218409999999,"DJ Yonish, Inc.",15102,3,2.5,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
